ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,"Guncangan Terasa Kencang di Jakarta, Pusat Gempa di Banten",242,35.29411765,332,2.169934641,155.2276786
facebook / cpc,Hantu Fake GPS yang Kerap Jadi Momok Grab,296,50,323,8.972222222,135.9508929
facebook / cpc,Ini Kesimpulan Polisi Usai Periksa Ibu yang Bunuh 3 Anaknya,287,66.66666667,323,11.96296296,173.2176471
google / cpc,Gempa Keras Guncang Jakarta,206,27.77777778,323,1.99382716,85.03862661
facebook / cpc,Foto: Pernah Lihat Arab Saudi Sehijau Ini?,54,50,314,17.44444444,40.78438662
facebook / cpc,Ini Dia Deretan Bunker Mewah Tahan Gempa,63,0,314,0,55.33770492
facebook / cpc,Foto: Bukti Agnez Mo Sudah Bergaya dengan Busana Mahal dari Dulu,27,0,305,16.94444444,21.74216028
facebook / cpc,"Gaya Rambut Pasha Ungu yang Pernah Jadi Tren, Mohawk Hingga Air Mancur",99,0,305,16.94444444,28.08264463
facebook / cpc,Go-Jek: Driver Bawa 'Tuyul' Bisa Dipecat,233,53.33333333,305,2.259259259,198.5804196
facebook / cpc,"Jakarta Berkelas Dunia, Ini 5 Mimpi Sandiaga Uno",242,64.54183267,305,1.215139442,449.8971963
facebook / cpc,"Viral Video Kakek Nikahi Gadis 17 Tahun di Batang, Ini Yang Terjadi",287,62.5,305,4.236111111,103.208
facebook / cpc,"Kemendagri: Pasha 'Ungu' Pejabat Publik, Gaya Rambutnya Tak Etis",224,12.55813953,296,1.376744186,4.80669145
facebook / cpc,Komentar : Polisi Amankan Istri yang Jual Suami Demi Layanan Fantasi,287,0,296,32.88888889,35.28671329
facebook / cpc,Meme-meme Kocak Cristiano Ronaldo dan Ponsel,90,20,296,6.577777778,38.39669421
google / cpc,"Kabar Duka, Sys NS Meninggal Dunia",81,42.85714286,296,4.698412698,10.05179283
facebook / cpc,"Istri Jual Suami Demi Layanan Fantasi, Polisi: Motifnya Ekonomi",242,100,287,10.62962963,63.94972067
facebook / cpc,Suasana Rumah Duka Sys NS,242,0,287,0,44.72093023
facebook / cpc,Grab akan Razia Driver yang Antar 'Tuyul',251,42.85714286,278,4.412698413,225.0502793
facebook / cpc,"Ibunda Idap Tumor Usus, Kiki Farel Berusaha Tetap Fokus Kerja",54,0,278,30.88888889,7.215384615
